"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SCX","L.S. Starrett Company (The)","7.49","51622765.25","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/scx",
"LCII","LCI Industries ","77.62","1929878556.82","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/lcii",
"LEA","Lear Corporation","140.99","8799942029.37","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/lea",
"LII","Lennox International, Inc.","267.85","10679715735.7","n/a","1999","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lii",
"LPL","LG Display Co., Ltd.","8.86","6340494204","n/a","2004","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lpl",
"LNN","Lindsay Corporation","96.73","1043362571.47","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/lnn",
"LMT","Lockheed Martin Corporation","304.29","86055551381.52","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/lmt",
"LOMA","Loma Negra Compania Industrial Argentina Sociedad Anonima","11.05","1317160000","n/a","2017","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/loma",
"LDL","Lydall, Inc.","24.1","421855967.7","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/ldl",
"WLH","Lyon William Homes","15.5","526399034","n/a","2013","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/wlh",
"MDC","M.D.C. Holdings, Inc.","29.07","1783116038.07","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mdc",
"MHO","M/I Homes, Inc.","26.66","733717964.64","n/a","1993","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mho",
"MGA","Magna International, Inc.","50.38","16386598598.48","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/mga",
"MTW","Manitowoc Company, Inc. (The)","17.01","605609819.64","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/mtw",
"MPX","Marine Products Corporation","13.63","466076977.68","n/a","n/a","Capital Goods","Marine Transportation","https://www.nasdaq.com/symbol/mpx",
"MTRN","Materion Corporation","57.66","1171486753.68","n/a","n/a","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/mtrn",
"MDR","McDermott International, Inc.","8.01","1454543349.3","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/mdr",
"MTH","Meritage Corporation","44.87","1717950792.04","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/mth",
"MTOR","Meritor, Inc.","20.88","1741090826.88","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/mtor",
"MEI","Methode Electronics, Inc.","29.22","1080758737.44","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/mei",
"MTD","Mettler-Toledo International, Inc.","730.34","18140255032.64","n/a","1997","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/mtd",
"MLR","Miller Industries, Inc.","31.12","354771174.24","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/mlr",
"MOD","Modine Manufacturing Company","14.32","724998988.72","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/mod",
"MRC","MRC Global Inc.","18.18","1536361093.98","n/a","2012","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/mrc",
"MSM","MSC Industrial Direct Company, Inc.","83.89","4642500451.48","n/a","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/msm",
"MLI","Mueller Industries, Inc.","31.59","1788775283.88","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/mli",
"MWA","Mueller Water Products Inc","10.33","1634324423.12","n/a","2006","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/mwa",
"NPK","National Presto Industries, Inc.","108.17","755143964.45","n/a","n/a","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/npk",
"SID","National Steel Company","4.35","6003498279.45","n/a","n/a","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/sid",
"NAV","Navistar International Corporation","33","3269160741","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/nav",
"NAV^D","Navistar International Corporation","24.7","0","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/nav^d",
"NCS","NCI Building Systems, Inc.","6.37","799281221.83","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/ncs",
"NWHM","New Home Company Inc. (The)","4.97","98937745.27","n/a","2014","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/nwhm",
"NIO","NIO Inc.","5.21","5345512339.66","n/a","2018","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/nio",
"NOC","Northrop Grumman Corporation","274.11","46587469713.3","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/noc",
"NVR","NVR, Inc.","2766.99","10036478700.81","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/nvr",
"OMAD","One Madison Corporation","10.2","420750000","n/a","2018","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/omad",
"OSK","Oshkosh Corporation","77.08","5399197631.92","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/osk",
"OC","Owens Corning Inc","48.79","5346359507.58","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/oc",
"PH","Parker-Hannifin Corporation","177.87","23010215693.85","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/ph",
"PKI","PerkinElmer, Inc.","97.59","10820081626.68","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/pki",
"PGTI","PGT Innovations, Inc.","13.78","800377442.54","n/a","2006","Capital Goods","Building Products","https://www.nasdaq.com/symbol/pgti",
"PII","Polaris Industries Inc.","86.25","5263964028.75","n/a","n/a","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/pii",
"PRLB","Proto Labs, Inc.","108.36","2923833127.32","n/a","2012","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/prlb",
"PHM","PulteGroup, Inc.","27.89","7738959007.11","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/phm",
"NX","Quanex Building Products Corporation","16.08","535343866.32","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/nx",
"PWR","Quanta Services, Inc.","38.64","5462011798.32","n/a","n/a","Capital Goods","Engineering & Construction","https://www.nasdaq.com/symbol/pwr",
"RTN","Raytheon Company","184.76","52146477640","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/rtn",
"REZI","Resideo Technologies, Inc.","20.04","2458631247.6","n/a","2018","Capital Goods","Wholesale Distributors","https://www.nasdaq.com/symbol/rezi",
"REVG","REV Group, Inc.","11.24","705945858.04","n/a","2017","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/revg",
"ROK","Rockwell Automation, Inc.","180.91","21626698889.06","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/rok",
"ROP","Roper Technologies, Inc.","347.93","36048255591.26","n/a","1992","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/rop",
"RTEC","Rudolph Technologies, Inc.","22.94","709015297.2","n/a","1999","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/rtec",
"ST","Sensata Technologies Holding plc","46.93","7703978537.97","n/a","2010","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/st",
"SSD","Simpson Manufacturing Company, Inc.","59.26","2676603234.9","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/ssd",
"SNA","Snap-On Incorporated","159.26","8852536696.62","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/sna",
"SPR","Spirit Aerosystems Holdings, Inc.","93.65","9896126141.75","n/a","2006","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/spr",
"SMP","Standard Motor Products, Inc.","49.18","1103339873.86","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/smp",
"SWJ","Stanley Black & Decker, Inc.","25.77","0","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/swj",
"SWK","Stanley Black & Decker, Inc.","139.51","21115813535.39","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/swk",
"SWP","Stanley Black & Decker, Inc.","99.5","0","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/swp",
"SPLP","Steel Partners Holdings LP","13.87","343818811.29","n/a","n/a","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/splp",
"SRI","Stoneridge, Inc.","29.22","832446680.7","n/a","1997","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/sri",
"RGR","Sturm, Ruger & Company, Inc.","52.89","923353620","n/a","n/a","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/rgr",
"SUP","Superior Industries International, Inc.","5.51","137855995.87","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/sup",
"SYX","Systemax Inc.","23.1","864547437.6","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/syx",
"TTM","Tata Motors Ltd","13.85","9406507450.05","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/ttm",
"TMHC","Taylor Morrison Home Corporation","17.81","1957607628.86","n/a","2013","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/tmhc",
"TDY","Teledyne Technologies Incorporated","240.21","8700891424.2","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/tdy",
"TEN","Tenneco Inc.","23.13","1321327317.51","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/ten",
"TEX","Terex Corporation","32.84","2311936000","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/tex",
"TXT","Textron Inc.","51.58","12061851161.52","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/txt",
"TMO","Thermo Fisher Scientific Inc","276.19","110200826655.39","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/tmo",
"TKR","Timken Company (The)","45.38","3453874976.6","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/tkr",
"TOL","Toll Brothers, Inc.","36.19","5281568600","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/tol",
"TTC","Toro Company (The)","69.18","7340715742.5","n/a","n/a","Capital Goods","Tools/Hardware","https://www.nasdaq.com/symbol/ttc",
"TOWR","Tower International, Inc.","21.73","447897391.01","n/a","2010","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/towr",
"TM","Toyota Motor Corp Ltd Ord","119.88","172599648579","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/tm",
"TDG","Transdigm Group Incorporated","464.39","24564909810.45","n/a","2006","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/tdg",
"TG","Tredegar Corporation","17.06","566370419.1","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/tg",
"TPH","TRI Pointe Group, Inc.","12.85","1827400388.95","n/a","2013","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/tph",
"TRN","Trinity Industries, Inc.","22.13","2950924296.75","n/a","n/a","Capital Goods","Railroads","https://www.nasdaq.com/symbol/trn",
"TGI","Triumph Group, Inc.","19.83","988899910.23","n/a","1996","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/tgi",
"UTX","United Technologies Corporation","133.19","114854038637.43","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/utx",
"USG","USG Corporation","43.33","6070510035.1","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/usg",
"VMI","Valmont Industries, Inc.","133.17","2923342113.69","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/vmi",
"VEDL","Vedanta  Limited","10.87","672385590","n/a","2013","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/vedl",
"VNE","Veoneer, Inc.","24.15","2109374408.4","n/a","2018","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/vne",
"VSH","Vishay Intertechnology, Inc.","19.08","2525017645.08","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/vsh",
"VPG","Vishay Precision Group, Inc.","34.57","466388951.79","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/vpg",
"VSTO","Vista Outdoor Inc.","8.01","461304606.87","n/a","2015","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/vsto",
"VSLR","Vivint Solar, Inc.","5.11","614187778.33","n/a","2014","Capital Goods","Building Products","https://www.nasdaq.com/symbol/vslr",
"VCRA","Vocera Communications, Inc.","31.38","966654090.54","n/a","2012","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/vcra",
"VJET","voxeljet AG","2.22","53679600","n/a","2013","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/vjet",
"WNC","Wabash National Corporation","13.99","771562140.25","n/a","1991","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/wnc",
"WBC","Wabco Holdings Inc.","132","6781703412","n/a","n/a","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/wbc",
"WAT","Waters Corporation","252.98","18091204675.18","n/a","1995","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/wat",
"WTS","Watts Water Technologies, Inc.","82.24","2281254537.6","n/a","1986","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/wts",
"WAIR","Wesco Aircraft Holdings, Inc.","9.03","900716005.98","n/a","2011","Capital Goods","Wholesale Distributors","https://www.nasdaq.com/symbol/wair",
"WAB","Westinghouse Air Brake Technologies Corporation","74.67","12126074449.11","n/a","n/a","Capital Goods","Railroads","https://www.nasdaq.com/symbol/wab",
"WOR","Worthington Industries, Inc.","38.15","2143305150","n/a","n/a","Capital Goods","Steel/Iron Ore","https://www.nasdaq.com/symbol/wor",
"XYL","Xylem Inc.","80.56","14464765350.88","n/a","2011","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/xyl",
